2003-06-17,25,	248.24
2003-06-22,26,	247.9
2003-07-03,27,	247.1
2003-07-09,28,	249.48
2003-07-18,29,	252.45
2003-07-24,30,	253.44
2003-07-27,31,	254.94
2003-08-03,32,	253.98
2003-08-16,33,	252.96
2003-08-18,34,	253.4
2003-08-29,35,	252.0
2003-09-05,36,	252.76
2003-09-09,37,	254.56
2003-09-19,38,	254.76
2003-09-22,39,	251.68
2003-09-29,40,	254.39
2003-10-10,41,	244.88
2003-10-17,42,	248.0
2003-10-22,43,	245.25
2003-10-29,44,	247.52
2003-11-07,45,	248.0
2003-11-15,46,	245.34
2003-11-22,47,	248.91
2003-11-24,48,	249.48
2003-12-02,49,	243.2
2003-12-13,50,	246.33
2003-12-15,51,	245.98
2003-12-21,52,	246.0
CO,	1
2011-01-01,1,	305.89
2011-01-05,2,	304.34
2011-01-15,3,	306.24
2011-01-17,4,	321.48
2011-01-29,5,	320.25
2010-02-01,6,	320.95
2010-02-10,7,	313.34
2010-02-18,8,	311.27
2010-02-21,9,	309.6
2010-03-02,10,	314.0
2010-03-07,11,	311.74
2010-03-17,12,	312.83
2010-03-22,13,	312.0
2010-04-03,14,	309.39
2010-04-09,15,	311.3
2010-04-14,16,	311.36
2010-04-19,17,	316.11
2010-04-26,18,	313.6
2010-05-07,19,	311.31
2010-05-15,20,	310.0
2010-05-22,21,	316.28
2010-05-29,22,	312.8
2010-06-05,23,	309.0
2010-06-09,24,	311.06
2010-06-19,25,	311.39
2010-06-25,26,	310.96
2010-07-02,27,	312.75
2010-07-07,28,	312.83
2010-07-13,29,	317.45
2010-07-19,30,	319.15
2010-07-29,31,	315.2
2010-08-02,32,	317.53
2010-08-12,33,	319.74
2010-08-18,34,	321.3
2010-08-22,35,	318.6
2010-09-03,36,	317.41
2010-09-07,37,	318.35
2010-09-13,38,	318.32
2010-09-22,39,	317.78
2010-09-29,40,	311.04
2010-10-06,41,	305.24
2010-10-13,42,	303.18
2010-10-21,43,	302.69
2010-10-24,44,	299.99
2010-11-03,45,	306.34
2010-11-07,46,	304.6
2010-11-16,47,	309.27
2010-11-21,48,	307.71
2010-11-28,49,	308.45
CO,	1
1991-01-02,1,	169.74
1991-01-08,2,	169.05
1991-01-13,3,	168.95
1991-01-26,4,	172.91
1990-02-01,5,	174.87
1990-02-06,6,	176.8
1990-02-14,7,	178.02
1990-02-24,8,	177.45
1990-03-01,9,	177.8
1990-03-06,10,	175.71
1990-03-17,11,	176.71
1990-03-20,12,	178.1
1990-03-27,13,	178.44
1990-04-02,14,	178.75
1990-04-08,15,	179.3
1990-04-15,16,	179.31
1990-04-26,17,	177.16
1990-05-01,18,	176.4
1990-05-11,19,	177.1
1990-05-19,20,	178.5
1990-05-20,21,	177.8
1990-05-27,22,	176.75
1990-06-03,23,	170.04
1990-06-10,24,	170.52
1990-06-19,25,	168.12
1990-06-24,26,	172.48
1990-07-04,27,	168.51
1990-07-11,28,	170.45
1990-07-19,29,	172.83
1990-07-27,30,	172.2
1990-08-02,31,	177.66
1990-08-10,32,	176.32
1990-08-15,33,	174.35
1990-08-20,34,	171.61
1990-08-28,35,	174.64
1990-09-04,36,	174.24
1990-09-14,37,	174.0
1990-09-18,38,	176.94
1990-09-27,39,	171.6
1990-10-02,40,	176.58
1990-10-12,41,	174.41
1990-10-14,42,	175.16
1990-10-25,43,	174.64
1990-11-01,44,	173.2
1990-11-05,45,	172.7
1990-11-11,46,	171.08
1990-11-23,47,	173.65
1990-11-30,48,	170.3
1990-12-04,49,	167.28
1990-12-12,50,	170.0
1990-12-16,51,	170.02
1990-12-28,52,	170.19
CO,	1
1997-12-30,1,	212.85
1998-01-04,2,	209.36
1998-01-12,3,	213.15
1998-01-20,4,	219.11
1998-01-28,5,	217.5
1997-02-08,6,	205.83
1997-02-14,7,	205.72
1997-02-21,8,	204.96
1997-02-26,9,	208.35
1997-03-08,10,	208.44
1997-03-12,11,	207.2
1997-03-22,12,	207.28
1997-03-28,13,	210.82
1997-04-02,14,	214.17
1997-04-08,15,	213.29
1997-04-16,16,	213.07
1997-04-23,17,	211.78
1997-05-02,18,	212.94
1997-05-07,19,	214.6
1997-05-13,20,	215.04
1997-05-23,21,	212.8
1997-05-29,22,	214.12
1997-06-01,23,	211.2
1997-06-09,24,	211.6
1997-06-19,25,	210.0
1997-06-27,26,	212.35
1997-07-01,27,	209.44
1997-07-11,28,	211.2
1997-07-18,29,	212.93
1997-07-26,30,	208.74
1997-07-28,31,	210.13
1997-08-04,32,	210.6
1997-08-15,33,	212.94
1997-08-21,34,	212.16
1997-08-29,35,	212.44
1997-09-03,36,	213.12
1997-09-12,37,	214.88
1997-09-16,38,	213.3
1997-09-21,39,	214.1
1997-10-01,40,	214.12
1997-10-10,41,	207.0
1997-10-14,42,	208.82
1997-10-23,43,	209.72
1997-10-26,44,	208.8
1997-11-03,45,	211.56
1997-11-09,46,	210.16
1997-11-18,47,	212.28
1997-11-29,48,	211.71
1997-12-06,49,	211.34
1997-12-12,50,	213.92
1997-12-20,51,	213.32
1997-12-23,52,	213.3
CO,	1
2004-12-27,1,	265.64
2005-01-03,2,	266.45
2005-01-14,3,	266.76
2005-01-22,4,	270.89
2005-01-24,5,	271.76
2005-01-30,6,	271.21
2004-02-12,7,	265.05
2004-02-16,8,	267.26
2004-02-26,9,	265.05
2004-03-02,10,	267.26
2004-03-13,11,	263.91
2004-03-16,12,	269.94
2004-03-23,13,	269.27
2004-03-28,14,	270.58
2004-04-07,15,	266.7
2004-04-16,16,	267.39
2004-04-20,17,	266.39
2004-05-01,18,	268.17
2004-05-04,19,	267.02
2004-05-14,20,	264.95
2004-05-16,21,	266.8
2004-05-26,22,	268.94
2004-06-03,23,	262.53
2004-06-11,24,	263.75
2004-06-19,25,	266.0
2004-06-20,26,	265.96
2004-06-30,27,	268.83
2004-07-04,28,	266.8
2004-07-15,29,	273.76
2004-07-18,30,	271.78
2004-07-28,31,	272.28
2004-08-04,32,	272.24
2004-08-11,33,	273.6
2004-08-18,34,	273.6
2004-08-25,35,	273.6
2004-08-30,36,	273.6
2004-09-08,37,	272.2
2004-09-12,38,	273.89
2004-09-23,39,	270.72
2004-09-30,40,	276.95
2004-10-07,41,	271.73
2004-10-16,42,	263.73
2004-10-23,43,	265.48
2004-10-30,44,	265.68
2004-11-03,45,	268.65
2004-11-07,46,	266.0
2004-11-16,47,	265.58
2004-11-22,48,	268.25
2004-11-30,49,	265.44
2004-12-07,50,	268.32
2004-12-18,51,	267.2
2004-12-24,52,	265.12
CO,	1
2012-01-01,1,	331.15
2012-01-13,2,	332.8
2012-01-15,3,	351.13
2012-01-28,4,	349.65
2012-01-31,5,	353.19
2011-02-03,6,	334.15
2011-02-11,7,	326.02
2011-02-14,8,	324.42
2011-02-21,9,	327.36
2011-03-02,10,	324.72
2011-03-12,11,	327.45
